"UsedName";"Pmean";"Symbiont";"Authors";"Year";"Title";"Journal";"study.ID"
"Capnella sp.";6;"Zooxanthellate";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Lemnalia rhabdota";33.6;"Zooxanthellate";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Litophyton arboreum";69.8;"Zooxanthellate";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Paralemnalia clavata";40.8;"Zooxanthellate";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Paralemnalia digitiformis";37.1;"Zooxanthellate";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Xenia elongata";25;"Zooxanthellate";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Isis hippuris";28.2;"Zooxanthellate";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Hicksonella princeps";50;"Zooxanthellate";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Rumphella aggregata";27.8;"Zooxanthellate";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Tubipora musica";7.9;"Zooxanthellate";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Litophyton arboreum";878.1;"Zooxanthellate";"Mergner and Svoboda";1977;"Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea)";"Helgoländer Wissenschaftliche Meeresuntersuchungen";129
"Heteroxenia fuscescens";843;"Zooxanthellate";"Mergner and Svoboda";1977;"Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea)";"Helgoländer Wissenschaftliche Meeresuntersuchungen";129
"Heteroxenia ghardaqensis";878.1;"Zooxanthellate";"Mergner and Svoboda";1977;"Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea)";"Helgoländer Wissenschaftliche Meeresuntersuchungen";129
"Ovabunda macrospiculata";843;"Zooxanthellate";"Mergner and Svoboda";1977;"Productivity and seasonal changes in selected reef areas in the Gulf of Aqaba (Red Sea)";"Helgoländer Wissenschaftliche Meeresuntersuchungen";129
