OrigName;Group;Family;Genus;Species;AphiaID;rank;UsedName;study ID;Authors;Year;Title;Journal;OctoClade;ZooClade;Symbiont;Realm;Province;Ecoregion;Climate;DepthMin;DepthMax;StudyType;StudyTypeN;ResearchProblem;ResearchProblemN;Hmean;Hsd;Hconsidering;Pmean;Psd;Rmean;Rsd;CHARmean;CZARmean;SfG;count;revision ok?;info
Corallium rubrum;Scleraxonia;Coralliidae;Corallium;Corallium rubrum;125416;Species;Corallium rubrum;8;Rossi et al;2019;Polyp expansion of passive suspension feeders: A red coral case study;PeerJ;C;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;18;20;"Descriptive field study; Laboratorial study";2;Feeding activity rhythms;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia maxima;Alcyoniina;Alcyoniidae;Sinularia;Sinularia maxima;209975;Species;Sinularia maxima;9;Slattery et al;2019;Annual Thermal Stress Increases a Soft Coral’s Susceptibility to Bleaching;Scientific Reports;A;C;Zooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;Mariana Islands;Tropical;1;3;Descriptive field study;1;Bleaching;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia maxima x polydactyla;Alcyoniina;NA;NA;NA;NA;NA;NA;9;Slattery et al;2019;Annual Thermal Stress Increases a Soft Coral’s Susceptibility to Bleaching;Scientific Reports;A;NA;Zooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;Mariana Islands;Tropical;1;3;Descriptive field study;1;Bleaching;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia polydactyla;Alcyoniina;Alcyoniidae;Sinularia;Sinularia polydactyla;209973;Species;Sinularia polydactyla;9;Slattery et al;2019;Annual Thermal Stress Increases a Soft Coral’s Susceptibility to Bleaching;Scientific Reports;A;C;Zooxanthellate;Central Indo-Pacific;Tropical Northwestern Pacific;Mariana Islands;Tropical;1;3;Descriptive field study;1;Bleaching;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Dendronephthya australis;Alcyoniina;Nephtheidae;Dendronephthya;Dendronephthya australis;288950;Species;Dendronephthya australis;10;Corry et al;2018;Functional role of the soft coral Dendronephthya australis in the benthic food web of temperate estuaries;Marine Ecology Progress Series;A;NA;Azooxanthellate;Temperate Australasia;East Central Australian Shelf;Manning-Hawkesbury;Temperate;5;11;Descriptive field study;1;Food web description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paramuricea macrospina;Holaxonia;Plexauridae;Paramuricea;Paramuricea macrospina;125389;Species;Paramuricea macrospina;11;Grinyó et al;2018;Reproduction, energy storage and metabolic requirements in a mesophotic population of the gorgonian Paramuricea macrospina;PLoS ONE;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;60;75;Descriptive field study;1;"Natural diet description; Seasonal variability";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Leptogorgia sp.;Holaxonia;Gorgoniidae;Leptogorgia;NA;125302;Genus;Leptogorgia sp.;12;López-Gonzalez et al;2018;Thread-like tentacles in the Mediterranean corals Paramuricea clavata and Corallium rubrum;Mediterranean Marine Science;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;NA;NA;Laboratorial study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicella sp.;Holaxonia;Gorgoniidae;Eunicella;NA;125301;Genus;Eunicella sp.;12;López-Gonzalez et al;2018;Thread-like tentacles in the Mediterranean corals Paramuricea clavata and Corallium rubrum;Mediterranean Marine Science;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;NA;NA;Laboratorial study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paramuricea clavata;Holaxonia;Plexauridae;Paramuricea;Paramuricea clavata;125387;Species;Paramuricea clavata;12;López-Gonzalez et al;2018;Thread-like tentacles in the Mediterranean corals Paramuricea clavata and Corallium rubrum;Mediterranean Marine Science;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;NA;NA;Laboratorial study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Corallium rubrum;Scleraxonia;Coralliidae;Corallium;Corallium rubrum;125416;Species;Corallium rubrum;12;López-Gonzalez et al;2018;Thread-like tentacles in the Mediterranean corals Paramuricea clavata and Corallium rubrum;Mediterranean Marine Science;C;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;NA;NA;Laboratorial study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
