OrigName;Group;Family;Genus;Species;AphiaID;rank;UsedName;study ID;Authors;Year;Title;Journal;OctoClade;ZooClade;Symbiont;Realm;Province;Ecoregion;Climate;DepthMin;DepthMax;StudyType;StudyTypeN;ResearchProblem;ResearchProblemN;Hmean;Hsd;Hconsidering;Pmean;Psd;Rmean;Rsd;CHARmean;CZARmean;SfG;count;revision ok?;info
Eunicea succinea;Holaxonia;Plexauridae;Eunicea;Eunicea succinea;283262;Species;Eunicea succinea;24;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Southwestern Caribbean;Tropical;3;8;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;115;NA;1;ok;Fig. 1. We used Data Thief III.
Plexaura homomalla;Holaxonia;Plexauridae;Plexaura;Plexaura homomalla;290797;Species;Plexaura homomalla;24;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;A;B, C, B&C;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Southwestern Caribbean;Tropical;3;8;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;85;NA;1;ok;Fig. 1. We used Data Thief III.
Plexaurella fusifera;Holaxonia;Plexaurellidae;Plexaurella;Plexaurella nutans;290819;Species;Plexaurella nutans 1;24;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;A;NA;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Southwestern Caribbean;Tropical;3;8;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;64;NA;1;ok;Fig. 1. We used Data Thief III.
Plexaurella nutans;Holaxonia;Plexaurellidae;Plexaurella;Plexaurella nutans;290819;Species;Plexaurella nutans 2;24;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;A;B,C;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Southwestern Caribbean;Tropical;3;8;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;85;NA;1;ok;Fig. 1. We used Data Thief III.
Briareum asbestinum;Scleraxonia;Briareidae;Briareum;Briareum asbestinum;289534;Species;Briareum asbestinum;24;Baker et al;2015;Productivity links morphology, symbiont specificity and bleaching in the evolution of Caribbean octocoral symbioses;ISME Journal;B;B, C;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Southwestern Caribbean;Tropical;3;8;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Bleaching";2;NA;NA;NA;NA;NA;NA;NA;NA;71;NA;1;ok;Fig. 1. We used Data Thief III.
Sarcophyton sp.;Alcyoniina;Alcyoniidae;Sarcophyton;NA;205483;Genus;Sarcophyton sp.;25;Bednarz et al;2015;Seasonal variation in dinitrogen fixation and oxygen fluxes associated with two dominant zooxanthellate soft corals from the northern Red Sea;Marine Ecology Progress Series;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;10;10;Laboratorial study;1;"Seasonal variability; Other subjects";2;NA;NA;NA;NA;NA;NA;NA;NA;137.3;NA;1;ok;Fig. 2. We used Data Thief III. We interpretated the data (Pgross = Pnet + R)
Xeniidae;Alcyoniina;Xeniidae;NA;NA;125271;Family;Xeniidae sp.;25;Bednarz et al;2015;Seasonal variation in dinitrogen fixation and oxygen fluxes associated with two dominant zooxanthellate soft corals from the northern Red Sea;Marine Ecology Progress Series;A;NA;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;10;10;Laboratorial study;1;"Seasonal variability; Other subjects";2;NA;NA;NA;NA;NA;NA;NA;NA;119.5;NA;1;ok;Fig. 2 May we have use data thief. We interpretated the data (Pgross = Pnet + R)
Eunicella singularis;Holaxonia;Gorgoniidae;Eunicella;Eunicella singularis;125365;Species;Eunicella singularis;26;Coma et al;2015;Natural heterotrophic feeding by a temperate octocoral with symbiotic zooxanthellae: a contribution to understanding the mechanisms of die-off events;Coral Reefs;A;A;Zooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;15;15;"Descriptive field study; Laboratorial study";2;"Natural diet description; Prey selectivity; Seasonal variability";3;13.9;13;Zooplankton;NA;NA;86.2;52.4;16.2;NA;NA;1;ok;Fig. 6. We used Data Thief III.
Eunicella singularis;Holaxonia;Gorgoniidae;Eunicella;Eunicella singularis;125365;Species;Eunicella singularis;27;Ferrier-Pagès et al;2015;Photophysiology and daily primary production of a temperate symbiotic gorgonian;Photosynthesis Research;A;A;Zooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;7;7;Experimental field study;1;Role of autotrophy;1;NA;NA;NA;NA;NA;NA;NA;NA;121.5;NA;1;ok;CHAR was calculates using ug C (mg protein)-1 d-1.
Dendronephthya sp.;Alcyoniina;Nephtheidae;Dendronephthya;NA;206503;Genus;Dendronephthya sp.;28;Hutagalung et al;2014;Isolation, identification and growth optimization of microalgae derived from soft coral Dendronephthya sp.;APCBEE Procedia;A;NA;Azooxanthellate;Central Indo-Pacific;Sunda Shelf;Sunda Shelf/Java Sea;Tropical;NA;NA;Descriptive field study;1;"Natural diet description; Other subjects";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia flexibilis;Alcyoniina;Alcyoniidae;Sinularia;Sinularia flexibilis;288521;Species;Sinularia flexibilis;29;Leal et al;2014;Coral feeding on microalgae assessed with molecular trophic markers;Molecular Ecology;A;C;Zooxanthellate;NA;NA;NA;NA;NA;NA;Laboratorial study;1;Experimental diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Heteroxenia fuscescens;Alcyoniina;Xeniidae;Heteroxenia;Heteroxenia fuscescens;210004;Species;Heteroxenia fuscescens;29;Leal et al;2014;Coral feeding on microalgae assessed with molecular trophic markers;Molecular Ecology;A;C;Zooxanthellate;NA;NA;NA;NA;NA;NA;Laboratorial study;1;Experimental diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Leptogorgia virgulata;Holaxonia;Gorgoniidae;Leptogorgia;Leptogorgia virgulata;158288;Species;Leptogorgia virgulata;30;Leal et al;2014;Temporal changes in the trophic ecology of the asymbiotic gorgonian Leptogorgia virgulata;Marine Biology;A;NA;Azooxanthellate;Temperate Northern Atlantic;Warm Temperate Northwest Atlantic;Carolinian;Temperate;3;3;Descriptive field study;1;"Natural diet description; Seasonal variability";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pterogorgia anceps;Holaxonia;Gorgoniidae;Pterogorgia;Pterogorgia anceps;290922;Species;Pterogorgia anceps;31;Ramsby et al;2014;Symbiodinium photosynthesis in Caribbean octocorals;PLoS ONE;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;3;Laboratorial study;1;Role of autotrophy;1;NA;NA;NA;NA;NA;NA;NA;NA;88;NA;1;ok;
Eunicea tourneforti;Holaxonia;Plexauridae;Eunicea;Eunicea tourneforti;283263;Species;Eunicea tourneforti;31;Ramsby et al;2014;Symbiodinium photosynthesis in Caribbean octocorals;PLoS ONE;A;B, C, B&C;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;3;Laboratorial study;1;Role of autotrophy;1;NA;NA;NA;NA;NA;NA;NA;NA;78;NA;1;ok;
Pseudoplexaura porosa;Holaxonia;Plexauridae;Pseudoplexaura;Pseudoplexaura porosa;290881;Species;Pseudoplexaura porosa;31;Ramsby et al;2014;Symbiodinium photosynthesis in Caribbean octocorals;PLoS ONE;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;3;Laboratorial study;1;Role of autotrophy;1;NA;NA;NA;NA;NA;NA;NA;NA;93;NA;1;ok;
Pseudoplexaura wagenaari;Holaxonia;Plexauridae;Pseudoplexaura;Pseudoplexaura wagenaari;290882;Species;Pseudoplexaura wagenaari;31;Ramsby et al;2014;Symbiodinium photosynthesis in Caribbean octocorals;PLoS ONE;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;3;Laboratorial study;1;Role of autotrophy;1;NA;NA;NA;NA;NA;NA;NA;NA;83;NA;1;ok;
Antillogorgia americana;Holaxonia;Gorgoniidae;Antillogorgia;Antillogorgia americana;708859;Species;Antillogorgia americana;32;Shirur et al;2014;Biochemical composition of Caribbean gorgonians: Implications for gorgonian - Symbiodinium symbiosis and ecology;Journal of Experimental Marine Biology and Ecology;A;NA;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;5;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pterogorgia anceps;Holaxonia;Gorgoniidae;Pterogorgia;Pterogorgia anceps;290922;Species;Pterogorgia anceps;32;Shirur et al;2014;Biochemical composition of Caribbean gorgonians: Implications for gorgonian - Symbiodinium symbiosis and ecology;Journal of Experimental Marine Biology and Ecology;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;5;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicea flexuosa;Holaxonia;Plexauridae;Eunicea;Eunicea flexuosa;834203;Species;Eunicea flexuosa;32;Shirur et al;2014;Biochemical composition of Caribbean gorgonians: Implications for gorgonian - Symbiodinium symbiosis and ecology;Journal of Experimental Marine Biology and Ecology;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;5;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicea tourneforti;Holaxonia;Plexauridae;Eunicea;Eunicea tourneforti;283263;Species;Eunicea tourneforti;32;Shirur et al;2014;Biochemical composition of Caribbean gorgonians: Implications for gorgonian - Symbiodinium symbiosis and ecology;Journal of Experimental Marine Biology and Ecology;A;B, C, B&C;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;5;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Plexaura flexuosa;Holaxonia;Plexauridae;Eunicea;Eunicea flexuosa;834203;Species;Eunicea flexuosa;32;Shirur et al;2014;Biochemical composition of Caribbean gorgonians: Implications for gorgonian - Symbiodinium symbiosis and ecology;Journal of Experimental Marine Biology and Ecology;A;C;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;5;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pseudoplexaura flagellosa;Holaxonia;Plexauridae;Pseudoplexaura;Pseudoplexaura flagellosa;290880;Species;Pseudoplexaura flagellosa;32;Shirur et al;2014;Biochemical composition of Caribbean gorgonians: Implications for gorgonian - Symbiodinium symbiosis and ecology;Journal of Experimental Marine Biology and Ecology;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;5;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pseudoplexaura porosa;Holaxonia;Plexauridae;Pseudoplexaura;Pseudoplexaura porosa;290881;Species;Pseudoplexaura porosa;32;Shirur et al;2014;Biochemical composition of Caribbean gorgonians: Implications for gorgonian - Symbiodinium symbiosis and ecology;Journal of Experimental Marine Biology and Ecology;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;5;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Pseudoplexaura wagenaari;Holaxonia;Plexauridae;Pseudoplexaura;Pseudoplexaura wagenaari;290882;Species;Pseudoplexaura wagenaari;32;Shirur et al;2014;Biochemical composition of Caribbean gorgonians: Implications for gorgonian - Symbiodinium symbiosis and ecology;Journal of Experimental Marine Biology and Ecology;A;B;Zooxanthellate;Tropical Atlantic;Tropical Northwestern Atlantic;Western Caribbean;Tropical;3;5;Descriptive field study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Leptogorgia sarmentosa;Holaxonia;Gorgoniidae;Leptogorgia;Leptogorgia sarmentosa;125369;Species;Leptogorgia sarmentosa;33;Cocito et al;2013;Nutrient acquisition in four mediterranean gorgonian species;Marine Ecology Progress Series;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;22;25;Descriptive field study;1;"Natural diet description; Prey selectivity; Seasonal variability";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicella singularis;Holaxonia;Gorgoniidae;Eunicella;Eunicella singularis;125365;Species;Eunicella singularis;33;Cocito et al;2013;Nutrient acquisition in four mediterranean gorgonian species;Marine Ecology Progress Series;A;A;Zooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;22;25;Descriptive field study;1;"Natural diet description; Prey selectivity; Seasonal variability";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicella verrucosa;Holaxonia;Gorgoniidae;Eunicella;Eunicella verrucosa;125366;Species;Eunicella verrucosa;33;Cocito et al;2013;Nutrient acquisition in four mediterranean gorgonian species;Marine Ecology Progress Series;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;22;25;Descriptive field study;1;"Natural diet description; Prey selectivity; Seasonal variability";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Paramuricea clavata;Holaxonia;Plexauridae;Paramuricea;Paramuricea clavata;125387;Species;Paramuricea clavata;33;Cocito et al;2013;Nutrient acquisition in four mediterranean gorgonian species;Marine Ecology Progress Series;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;22;25;Descriptive field study;1;"Natural diet description; Prey selectivity; Seasonal variability";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Notisis sp.;Calcaxonia;Mopseidae;Notisis;NA;267634;Genus;Notisis sp.;34;Elias-Piera et al;2013;Trophic ecology of seven Antarctic gorgonian species;Marine Ecology Progress Series;NA;NA;Azooxanthellate;Southern Ocean;Subantarctic Islands;Weddell Sea;Polar;311;323;Descriptive field study;1;"Natural diet description; Food web description; Prey selectivity";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Primnoisis sp.;Calcaxonia;Mopseidae;Primnoisis;NA;173340;Genus;Primnoisis sp.;34;Elias-Piera et al;2013;Trophic ecology of seven Antarctic gorgonian species;Marine Ecology Progress Series;NA;NA;Azooxanthellate;Southern Ocean;Subantarctic Islands;Weddell Sea;Polar;247;323;Descriptive field study;1;"Natural diet description; Food web description; Prey selectivity";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Ainigmaptilon antarcticum;Calcaxonia;Primnoidae;Ainigmaptilon;Ainigmaptilon antarcticum;289368;Species;Ainigmaptilon antarcticum;34;Elias-Piera et al;2013;Trophic ecology of seven Antarctic gorgonian species;Marine Ecology Progress Series;B;NA;Azooxanthellate;Southern Ocean;Subantarctic Islands;Weddell Sea;Polar;247;323;Descriptive field study;1;"Natural diet description; Food web description; Prey selectivity";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Dasystenella sp.;Calcaxonia;Primnoidae;Dasystenella;NA;267370;Genus;Dasystenella sp.;34;Elias-Piera et al;2013;Trophic ecology of seven Antarctic gorgonian species;Marine Ecology Progress Series;NA;NA;Azooxanthellate;Southern Ocean;Subantarctic Islands;Weddell Sea;Polar;309;323;Descriptive field study;1;"Natural diet description; Food web description; Prey selectivity";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Onogorgia nodosa;Calcaxonia;Primnoidae;Onogorgia;Onogorgia nodosa;409528;Species;Onogorgia nodosa;34;Elias-Piera et al;2013;Trophic ecology of seven Antarctic gorgonian species;Marine Ecology Progress Series;NA;NA;Azooxanthellate;Southern Ocean;Scotia Sea;South Shetland Islands;Polar;94;96;Descriptive field study;1;"Natural diet description; Food web description; Prey selectivity";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Primnoella sp.;Calcaxonia;Primnoidae;Primnoella;NA;125322;Genus;Primnoella sp.;34;Elias-Piera et al;2013;Trophic ecology of seven Antarctic gorgonian species;Marine Ecology Progress Series;B;NA;Azooxanthellate;Southern Ocean;Subantarctic Islands;Weddell Sea;Polar;66;72;Descriptive field study;1;"Natural diet description; Food web description; Prey selectivity";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Thouarella sp.;Calcaxonia;Primnoidae;Thouarella;NA;125323;Genus;Thouarella sp.;34;Elias-Piera et al;2013;Trophic ecology of seven Antarctic gorgonian species;Marine Ecology Progress Series;B;NA;Azooxanthellate;Southern Ocean;Subantarctic Islands;Weddell Sea;Polar;247;323;Descriptive field study;1;"Natural diet description; Food web description; Prey selectivity";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicella singularis;Holaxonia;Gorgoniidae;Eunicella;Eunicella singularis;125365;Species;Eunicella singularis;35;Ezzat et al;2013;The Response of the Mediterranean Gorgonian Eunicella singularis to Thermal Stress Is Independent of Its Nutritional Regime;PLoS ONE;A;A;Zooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;10;15;Laboratorial study;1;"Role of autotrophy; Feeding responses to environmental forces; Bleaching";3;NA;NA;NA;NA;NA;NA;NA;NA;118;NA;1;ok;
Paramuricea clavata;Holaxonia;Plexauridae;Paramuricea;Paramuricea clavata;125387;Species;Paramuricea clavata;36;Gori et al;2013;Effects of food availability on the sexual reproduction and biochemical composition of the Mediterranean gorgonian Paramuricea clavata;Journal of Experimental Marine Biology and Ecology;A;NA;Azooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;18;22;"Descriptive field study; Laboratorial study";2;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Heteroxenia fuscescens;Alcyoniina;Xeniidae;Heteroxenia;Heteroxenia fuscescens;210004;Species;Heteroxenia fuscescens;37;Kremien et al;2013;Benefit of pulsation in soft corals;Proceedings of the National Academy of Sciences of the United States of America;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;5;10;"Descriptive field study; Laboratorial study";2;"Role of autotrophy; Feeding activity rhythms";2;NA;NA;NA;NA;NA;NA;NA;NA;830;NA;1;ok;
Sinularia flexibilis;Alcyoniina;Alcyoniidae;Sinularia;Sinularia flexibilis;288521;Species;Sinularia flexibilis;38;Rocha et al;2013;Effect of light intensity on post-fragmentation photobiological performance of the soft coral Sinularia flexibilis;Aquaculture;A;C;Zooxanthellate;NA;NA;NA;NA;NA;NA;Laboratorial study;1;"Role of autotrophy; Feeding responses to environmental forces";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sarcophyton ehrenbergi;Alcyoniina;Alcyoniidae;Sarcophyton;Sarcophyton ehrenbergi;209622;Species;Sarcophyton ehrenbergi;39;Sammarco and Strychar;2013;Responses to High Seawater Temperatures in Zooxanthellate Octocorals;PLoS ONE;A;C;Zooxanthellate;Central Indo-Pacific;Northeast Australian Shelf;Central and Southern Great Barrier Reef;Tropical;7;10;Laboratorial study;1;"Feeding responses to environmental forces; Bleaching";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia lochmodes;Alcyoniina;Alcyoniidae;Sinularia;Sinularia lochmodes;288542;Species;Sinularia lochmodes;39;Sammarco and Strychar;2013;Responses to High Seawater Temperatures in Zooxanthellate Octocorals;PLoS ONE;A;C;Zooxanthellate;Central Indo-Pacific;Northeast Australian Shelf;Central and Southern Great Barrier Reef;Tropical;7;10;Laboratorial study;1;"Feeding responses to environmental forces; Bleaching";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Xenia elongata;Alcyoniina;Xeniidae;Xenia;Xenia elongata;287872;Species;Xenia elongata;39;Sammarco and Strychar;2013;Responses to High Seawater Temperatures in Zooxanthellate Octocorals;PLoS ONE;A;C;Zooxanthellate;Central Indo-Pacific;Northeast Australian Shelf;Central and Southern Great Barrier Reef;Tropical;7;10;Laboratorial study;1;"Feeding responses to environmental forces; Bleaching";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Xenia spp.;Alcyoniina;Xeniidae;Xenia;NA;204396;Genus;Xenia spp.;40;Bednarz et al;2012;Inorganic nutrient availability affects organic matter fluxes and metabolic activity in the soft coral genus Xenia;Journal of Experimental Biology;A;C;Zooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;NA;NA;Laboratorial study;1;Experimental diet description;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Subergorgia suberosa;Scleraxonia;Subergorgiidae;Subergorgia;Subergorgia suberosa;288010;Species;Subergorgia suberosa;41;Chan et al;2012;An experimental study of the response of the gorgonian coral Subergorgia suberosa to polluted seawater from a former coastal mining site in Taiwan;Zoological Studies;NA;NA;Azooxanthellate;Temperate Northern Pacific;Warm Temperate Northwest Pacific;East China Sea;Temperate;26;26;Laboratorial study;1;Other subjects;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Carijoa riisei;Stolonifera;Clavulariidae;Carijoa;Carijoa riisei;395098;Species;Carijoa riisei;42;Gomes et al;2012;Prey selectivity of the octocoral Carijoa riisei at Pernambuco, Brazil;Anais Da Academia Brasileira De Ciencias;A;NA;Azooxanthellate;Tropical Atlantic;Tropical Southwestern Atlantic;Northeastern Brazil;Tropical;2;6;Descriptive field study;1;"Natural diet description; Prey selectivity; Seasonal variability";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Eunicella singularis;Holaxonia;Gorgoniidae;Eunicella;Eunicella singularis;125365;Species;Eunicella singularis;43;Gori et al;2012;Reproductive cycle and trophic ecology in deep versus shallow populations of the Mediterranean gorgonian Eunicella singularis (Cap de Creus, northwestern Mediterranean Sea);Coral Reefs;A;A;Zooxanthellate;Temperate Northern Atlantic;Mediterranean Sea;Western Mediterranean;Temperate;18;60;Descriptive field study;1;"Natural diet description; Role of autotrophy";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Dendronephthya hemprichi;Alcyoniina;Nephtheidae;Dendronephthya;Dendronephthya hemprichi;213027;Species;Dendronephthya hemprichi;44;Grossowicz and Benayahu;2012;Differential morphological features of two Dendronephthya soft coral species suggest differences in feeding niches;Marine Biodiversity;A;NA;Azooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;10;22;Descriptive field study;1;Prey selectivity;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Dendronephthya sinaiensis;Alcyoniina;Nephtheidae;Dendronephthya;Dendronephthya sinaiensis;213026;Species;Dendronephthya sinaiensis;44;Grossowicz and Benayahu;2012;Differential morphological features of two Dendronephthya soft coral species suggest differences in feeding niches;Marine Biodiversity;A;NA;Azooxanthellate;Western Indo-Pacific;Red Sea and Gulf of Aden;Northern and Central Red Sea;Tropical;10;22;Descriptive field study;1;Prey selectivity;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia cruciata;Alcyoniina;Alcyoniidae;Sinularia;Sinularia cruciata;288508;Species;Sinularia cruciata;45;Imbs et al;2012;Fatty acid composition as an indicator of possible sources of nutrition for soft corals of the genus Sinularia (Alcyoniidae);Journal of the Marine Biological Association of the United Kingdom;A;C;Zooxanthellate;Central Indo-Pacific;Sunda Shelf;Southern Vietnam;Tropical;3;3;Descriptive field study;1;"Natural diet description; Role of autotrophy; Food web description";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia aff. deformis;Alcyoniina;Alcyoniidae;Sinularia;Sinularia deformis;288511;Species;Sinularia deformis;45;Imbs et al;2012;Fatty acid composition as an indicator of possible sources of nutrition for soft corals of the genus Sinularia (Alcyoniidae);Journal of the Marine Biological Association of the United Kingdom;A;C;Zooxanthellate;Central Indo-Pacific;Sunda Shelf;Southern Vietnam;Tropical;3;3;Descriptive field study;1;"Natural diet description; Role of autotrophy; Food web description";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia densa;Alcyoniina;Alcyoniidae;Sinularia;Sinularia densa;209982;Species;Sinularia densa;45;Imbs et al;2012;Fatty acid composition as an indicator of possible sources of nutrition for soft corals of the genus Sinularia (Alcyoniidae);Journal of the Marine Biological Association of the United Kingdom;A;C;Zooxanthellate;Central Indo-Pacific;Sunda Shelf;Southern Vietnam;Tropical;3;3;Descriptive field study;1;"Natural diet description; Role of autotrophy; Food web description";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia flexibilis;Alcyoniina;Alcyoniidae;Sinularia;Sinularia flexibilis;288521;Species;Sinularia flexibilis;45;Imbs et al;2012;Fatty acid composition as an indicator of possible sources of nutrition for soft corals of the genus Sinularia (Alcyoniidae);Journal of the Marine Biological Association of the United Kingdom;A;C;Zooxanthellate;Central Indo-Pacific;Sunda Shelf;Southern Vietnam;Tropical;3;3;Descriptive field study;1;"Natural diet description; Role of autotrophy; Food web description";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia leptoclados;Alcyoniina;Alcyoniidae;Sinularia;Sinularia leptoclados;209981;Species;Sinularia leptoclados;45;Imbs et al;2012;Fatty acid composition as an indicator of possible sources of nutrition for soft corals of the genus Sinularia (Alcyoniidae);Journal of the Marine Biological Association of the United Kingdom;A;C;Zooxanthellate;Central Indo-Pacific;Sunda Shelf;Southern Vietnam;Tropical;3;3;Descriptive field study;1;"Natural diet description; Role of autotrophy; Food web description";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia lochmodes;Alcyoniina;Alcyoniidae;Sinularia;Sinularia lochmodes;288542;Species;Sinularia lochmodes;45;Imbs et al;2012;Fatty acid composition as an indicator of possible sources of nutrition for soft corals of the genus Sinularia (Alcyoniidae);Journal of the Marine Biological Association of the United Kingdom;A;C;Zooxanthellate;Central Indo-Pacific;Sunda Shelf;Southern Vietnam;Tropical;3;3;Descriptive field study;1;"Natural diet description; Role of autotrophy; Food web description";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
Sinularia cf. muralis;Alcyoniina;Alcyoniidae;Sinularia;Sinularia muralis;209996;Species;Sinularia muralis;45;Imbs et al;2012;Fatty acid composition as an indicator of possible sources of nutrition for soft corals of the genus Sinularia (Alcyoniidae);Journal of the Marine Biological Association of the United Kingdom;A;C;Zooxanthellate;Central Indo-Pacific;Sunda Shelf;Southern Vietnam;Tropical;3;3;Descriptive field study;1;"Natural diet description; Role of autotrophy; Food web description";3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;ok;
