taxaID;species;Azooxanthellate;Undefined;Zooxanthellate
taxa161;Sinularia maxima;;;1
taxa162;Sinularia maxima x polydactyla;;;1
taxa163;Sinularia microclavata;;;1
taxa164;Sinularia microspiculata;;;1
taxa165;Sinularia notanda;;;1
taxa166;Sinularia polydactyla;;;1
taxa167;Sinularia sp.;;;1
taxa168;Sinularia spp.;;;1
taxa169;Subergorgia suberosa;1;;
taxa170;Thouarella sp.;1;;
taxa171;Thouarella variabilis;1;;
taxa172;Tripalea clavaria;1;;
taxa173;Tubipora musica;;;1
taxa174;Veretillum cynomorium;1;;
taxa175;Villogorgia sp.;1;;
taxa176;Viminella sp.;1;;
taxa177;Xenia elongata;;;1
taxa178;Xenia hicksoni;;;1
taxa179;Xenia membranacea;;;1
taxa180;Xenia spp.;;;1
taxa181;Xenia umbellata;;;1
taxa182;Xeniidae;;;1
;Total;82;4;97
